increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
8,CHP08,-10.22,-1.71,14.1,152.7,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
9,CHP08,-10.5,-1.11,12.1,171.91,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
10,CHP08,-10.53,-0.83,10.1,191.12,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
1,CHP09,-9.52,-7.26,22.2,313.77,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
2,CHP09,-9.53,-8.39,19.7,354.98,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
3,CHP09,-9.45,-8.61,17,34.49,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
4,CHP09,-9.6,-7.04,14.5,75.71,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
5,CHP09,-9.71,-4.87,12.2,113.62,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
6,CHP09,-9.64,-2.72,10.1,148.24,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
7,CHP09,-9.8,-0.28,7.9,184.51,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
8,CHP09,-9.75,-0.27,6.1,214.19,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
9,CHP09,-9.22,-2.49,4.2,245.51,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
10,CHP09,-8.38,-4.96,2,281.78,Chap,M/3,right,8,caprine,Final Bronze Age,FALSE,0.32,spring
1,CHP10,-8.98,-8.65,17.9,29.83,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
2,CHP10,-9.13,-6.76,15.4,69.18,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
3,CHP10,-9.3,-4.52,13,106.96,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
4,CHP10,-9.37,-2.34,10.2,151.04,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
5,CHP10,-9.35,-0.26,7.8,188.81,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
6,CHP10,-9.6,-1.13,5.4,226.59,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
